ray_id,parent_id,depth,surface,x0,y0,z0,x1,y1,z1,power,intensity
45,-1,0,Detector_direct,-0.34217059892324153,-0.8045433333333333,3.3199,-0.34217059892324153,-0.8045433333333333,2.6,34275.78924620156,73644677373.27158
46,-1,0,Detector_direct,-0.3425943819168359,-0.8050956180831641,3.3199,-0.3425943819168359,-0.8050956180831641,2.6,34275.78924620156,73644677373.27158
47,-1,0,Detector_direct,-0.34314666666666666,-0.8055194010767585,3.3199,-0.34314666666666666,-0.8055194010767585,2.6,34275.78924620156,73644677373.27158
48,-1,0,Detector_direct,-0.3437898158797266,-0.8057858022034375,3.3199,-0.3437898158797266,-0.8057858022034375,2.6,34275.78924620156,73644677373.27158
49,-1,0,Detector_direct,-0.34448,-0.8058766666666667,3.3199,-0.34448,-0.8058766666666667,2.6,34275.78924620156,73644677373.27158
50,-1,0,Detector_direct,-0.3451701841202734,-0.8057858022034375,3.3199,-0.3451701841202734,-0.8057858022034375,2.6,34275.78924620156,73644677373.27158
51,-1,0,Detector_direct,-0.34581333333333336,-0.8055194010767585,3.3199,-0.34581333333333336,-0.8055194010767585,2.6,34275.78924620156,73644677373.27158
52,-1,0,Detector_direct,-0.34636561808316413,-0.8050956180831641,3.3199,-0.34636561808316413,-0.8050956180831641,2.6,34275.78924620156,73644677373.27158
53,-1,0,Detector_direct,-0.3467894010767585,-0.8045433333333333,3.3199,-0.3467894010767585,-0.8045433333333333,2.6,34275.78924620156,73644677373.27158
54,-1,0,Detector_direct,-0.3470558022034375,-0.8039001841202734,3.3199,-0.3470558022034375,-0.8039001841202734,2.6,34275.78924620156,73644677373.27158
55,-1,0,Detector_direct,-0.34714666666666666,-0.80321,3.3199,-0.34714666666666666,-0.80321,2.6,34275.78924620156,73644677373.27158
56,-1,0,Detector_direct,-0.3470558022034375,-0.8025198158797265,3.3199,-0.3470558022034375,-0.8025198158797265,2.6,34275.78924620156,73644677373.27158
57,-1,0,Detector_direct,-0.3467894010767585,-0.8018766666666667,3.3199,-0.3467894010767585,-0.8018766666666667,2.6,34275.78924620156,73644677373.27158
58,-1,0,Detector_direct,-0.34636561808316413,-0.8013243819168359,3.3199,-0.34636561808316413,-0.8013243819168359,2.6,34275.78924620156,73644677373.27158
59,-1,0,Detector_direct,-0.34581333333333336,-0.8009005989232415,3.3199,-0.34581333333333336,-0.8009005989232415,2.6,34275.78924620156,73644677373.27158
60,-1,0,Detector_direct,-0.3451701841202734,-0.8006341977965624,3.3199,-0.3451701841202734,-0.8006341977965624,2.6,34275.78924620156,73644677373.27158
61,-1,0,Detector_direct,-0.34448,-0.7998766666666667,3.3199,-0.34448,-0.7998766666666667,2.6,31640.54133847193,67982605507.637
62,-1,0,Detector_direct,-0.34378696103060746,-0.7999495079975539,3.3199,-0.34378696103060746,-0.7999495079975539,2.6,31640.54133847193,67982605507.637
63,-1,0,Detector_direct,-0.34312421118974734,-0.8001648484745246,3.3199,-0.34312421118974734,-0.8001648484745246,2.6,31640.54133847193,67982605507.637
64,-1,0,Detector_direct,-0.34252071582569177,-0.8005132766854168,3.3199,-0.34252071582569177,-0.8005132766854168,2.6,31640.54133847193,67982605507.637
65,-1,0,Detector_direct,-0.342002850581742,-0.8009795646454705,3.3199,-0.342002850581742,-0.8009795646454705,2.6,31640.54133847193,67982605507.637
66,-1,0,Detector_direct,-0.3415932486540519,-0.8015433333333333,3.3199,-0.3415932486540519,-0.8015433333333333,2.6,31640.54133847193,67982605507.637
67,-1,0,Detector_direct,-0.3413098116123495,-0.8021799433520835,3.3199,-0.3413098116123495,-0.8021799433520835,2.6,31640.54133847193,67982605507.637
68,-1,0,Detector_direct,-0.3411649270154391,-0.8028615717891078,3.3199,-0.3411649270154391,-0.8028615717891078,2.6,31640.54133847193,67982605507.637
69,-1,0,Detector_direct,-0.3411649270154391,-0.8035584282108922,3.3199,-0.3411649270154391,-0.8035584282108922,2.6,31640.54133847193,67982605507.637
70,-1,0,Detector_direct,-0.3413098116123495,-0.8042400566479164,3.3199,-0.3413098116123495,-0.8042400566479164,2.6,31640.54133847193,67982605507.637
71,-1,0,Detector_direct,-0.3415932486540519,-0.8048766666666667,3.3199,-0.3415932486540519,-0.8048766666666667,2.6,31640.54133847193,67982605507.637
72,-1,0,Detector_direct,-0.342002850581742,-0.8054404353545295,3.3199,-0.342002850581742,-0.8054404353545295,2.6,31640.54133847193,67982605507.637
73,-1,0,Detector_direct,-0.34252071582569177,-0.8059067233145831,3.3199,-0.34252071582569177,-0.8059067233145831,2.6,31640.54133847193,67982605507.637
74,-1,0,Detector_direct,-0.34312421118974734,-0.8062551515254753,3.3199,-0.34312421118974734,-0.8062551515254753,2.6,31640.54133847193,67982605507.637
75,-1,0,Detector_direct,-0.34378696103060746,-0.806470492002446,3.3199,-0.34378696103060746,-0.806470492002446,2.6,31640.54133847193,67982605507.637
76,-1,0,Detector_direct,-0.34448,-0.8065433333333333,3.3199,-0.34448,-0.8065433333333333,2.6,31640.54133847193,67982605507.637
77,-1,0,Detector_direct,-0.34517303896939255,-0.806470492002446,3.3199,-0.34517303896939255,-0.806470492002446,2.6,31640.54133847193,67982605507.637
78,-1,0,Detector_direct,-0.3458357888102527,-0.8062551515254753,3.3199,-0.3458357888102527,-0.8062551515254753,2.6,31640.54133847193,67982605507.637
79,-1,0,Detector_direct,-0.34643928417430825,-0.8059067233145831,3.3199,-0.34643928417430825,-0.8059067233145831,2.6,31640.54133847193,67982605507.637
80,-1,0,Detector_direct,-0.346957149418258,-0.8054404353545295,3.3199,-0.346957149418258,-0.8054404353545295,2.6,31640.54133847193,67982605507.637
81,-1,0,Detector_direct,-0.34736675134594813,-0.8048766666666667,3.3199,-0.34736675134594813,-0.8048766666666667,2.6,31640.54133847193,67982605507.637
82,-1,0,Detector_direct,-0.3476501883876505,-0.8042400566479164,3.3199,-0.3476501883876505,-0.8042400566479164,2.6,31640.54133847193,67982605507.637
83,-1,0,Detector_direct,-0.3477950729845609,-0.8035584282108922,3.3199,-0.3477950729845609,-0.8035584282108922,2.6,31640.54133847193,67982605507.637
84,-1,0,Detector_direct,-0.3477950729845609,-0.8028615717891078,3.3199,-0.3477950729845609,-0.8028615717891078,2.6,31640.54133847193,67982605507.637
85,-1,0,Detector_direct,-0.3476501883876505,-0.8021799433520835,3.3199,-0.3476501883876505,-0.8021799433520835,2.6,31640.54133847193,67982605507.637
86,-1,0,Detector_direct,-0.34736675134594813,-0.8015433333333333,3.3199,-0.34736675134594813,-0.8015433333333333,2.6,31640.54133847193,67982605507.637
87,-1,0,Detector_direct,-0.346957149418258,-0.8009795646454705,3.3199,-0.346957149418258,-0.8009795646454705,2.6,31640.54133847193,67982605507.637
88,-1,0,Detector_direct,-0.34643928417430825,-0.8005132766854168,3.3199,-0.34643928417430825,-0.8005132766854168,2.6,31640.54133847193,67982605507.637
89,-1,0,Detector_direct,-0.3458357888102527,-0.8001648484745246,3.3199,-0.3458357888102527,-0.8001648484745246,2.6,31640.54133847193,67982605507.637
90,-1,0,Detector_direct,-0.34517303896939255,-0.7999495079975539,3.3199,-0.34517303896939255,-0.7999495079975539,2.6,31640.54133847193,67982605507.637
91,-1,0,Detector_direct,-0.34448,-0.79921,3.3199,-0.34448,-0.79921,2.6,28693.23768532481,61650053247.55635
92,-1,0,Detector_direct,-0.34378540728933227,-0.7992707689879511,3.3199,-0.34378540728933227,-0.7992707689879511,2.6,28693.23768532481,61650053247.55635
93,-1,0,Detector_direct,-0.34311191942669733,-0.7994512295168563,3.3199,-0.34311191942669733,-0.7994512295168563,2.6,28693.23768532481,61650053247.55635
94,-1,0,Detector_direct,-0.34248,-0.7997458983848622,3.3199,-0.34248,-0.7997458983848622,2.6,28693.23768532481,61650053247.55635
95,-1,0,Detector_direct,-0.34190884956125384,-0.8001458222275241,3.3199,-0.34190884956125384,-0.8001458222275241,2.6,28693.23768532481,61650053247.55635
96,-1,0,Detector_direct,-0.3414158222275241,-0.8006388495612539,3.3199,-0.3414158222275241,-0.8006388495612539,2.6,28693.23768532481,61650053247.55635
97,-1,0,Detector_direct,-0.34101589838486224,-0.80121,3.3199,-0.34101589838486224,-0.80121,2.6,28693.23768532481,61650053247.55635
98,-1,0,Detector_direct,-0.34072122951685635,-0.8018419194266974,3.3199,-0.34072122951685635,-0.8018419194266974,2.6,28693.23768532481,61650053247.55635
99,-1,0,Detector_direct,-0.34054076898795116,-0.8025154072893322,3.3199,-0.34054076898795116,-0.8025154072893322,2.6,28693.23768532481,61650053247.55635
100,-1,0,Detector_direct,-0.34048,-0.80321,3.3199,-0.34048,-0.80321,2.6,28693.23768532481,61650053247.55635
101,-1,0,Detector_direct,-0.34054076898795116,-0.8039045927106677,3.3199,-0.34054076898795116,-0.8039045927106677,2.6,28693.23768532481,61650053247.55635
102,-1,0,Detector_direct,-0.34072122951685635,-0.8045780805733026,3.3199,-0.34072122951685635,-0.8045780805733026,2.6,28693.23768532481,61650053247.55635
103,-1,0,Detector_direct,-0.34101589838486224,-0.80521,3.3199,-0.34101589838486224,-0.80521,2.6,28693.23768532481,61650053247.55635
104,-1,0,Detector_direct,-0.3414158222275241,-0.8057811504387461,3.3199,-0.3414158222275241,-0.8057811504387461,2.6,28693.23768532481,61650053247.55635
105,-1,0,Detector_direct,-0.34190884956125384,-0.8062741777724759,3.3199,-0.34190884956125384,-0.8062741777724759,2.6,28693.23768532481,61650053247.55635
106,-1,0,Detector_direct,-0.34248,-0.8066741016151378,3.3199,-0.34248,-0.8066741016151378,2.6,28693.23768532481,61650053247.55635
107,-1,0,Detector_direct,-0.34311191942669733,-0.8069687704831436,3.3199,-0.34311191942669733,-0.8069687704831436,2.6,28693.23768532481,61650053247.55635
108,-1,0,Detector_direct,-0.34378540728933227,-0.8071492310120488,3.3199,-0.34378540728933227,-0.8071492310120488,2.6,28693.23768532481,61650053247.55635
109,-1,0,Detector_direct,-0.34448,-0.80721,3.3199,-0.34448,-0.80721,2.6,28693.23768532481,61650053247.55635
110,-1,0,Detector_direct,-0.34517459271066775,-0.8071492310120488,3.3199,-0.34517459271066775,-0.8071492310120488,2.6,28693.23768532481,61650053247.55635
111,-1,0,Detector_direct,-0.3458480805733027,-0.8069687704831436,3.3199,-0.3458480805733027,-0.8069687704831436,2.6,28693.23768532481,61650053247.55635
112,-1,0,Detector_direct,-0.34648,-0.8066741016151378,3.3199,-0.34648,-0.8066741016151378,2.6,28693.23768532481,61650053247.55635
113,-1,0,Detector_direct,-0.3470511504387462,-0.8062741777724759,3.3199,-0.3470511504387462,-0.8062741777724759,2.6,28693.23768532481,61650053247.55635
114,-1,0,Detector_direct,-0.3475441777724759,-0.8057811504387461,3.3199,-0.3475441777724759,-0.8057811504387461,2.6,28693.23768532481,61650053247.55635
115,-1,0,Detector_direct,-0.3479441016151378,-0.80521,3.3199,-0.3479441016151378,-0.80521,2.6,28693.23768532481,61650053247.55635
