surface,ray_id,parent_id,depth,x,y,z,dx,dy,dz,power,intensity,u,v
Detector_main,2884,2163,3,-0.34448,-0.80321,2.6,0.0,0.0,-1.0,13656.126274036398,39121920000.0,0.0,0.0
Detector_main,2885,2164,3,-0.34448,-0.8025433333333333,2.6,0.0,0.0,-1.0,18047.035188323192,38775710588.06264,0.0,0.0006666666666667043
Detector_main,2886,2165,3,-0.34390264973081036,-0.8028766666666667,2.6,0.0,0.0,-1.0,18047.035188323192,38775710588.06264,0.000577350269189647,0.0003333333333332966
Detector_main,2887,2166,3,-0.34390264973081036,-0.8035433333333333,2.6,0.0,0.0,-1.0,18047.035188323192,38775710588.06264,0.000577350269189647,-0.0003333333333332966
Detector_main,2888,2167,3,-0.34448,-0.8038766666666667,2.6,0.0,0.0,-1.0,18047.035188323192,38775710588.06264,0.0,-0.0006666666666667043
Detector_main,2889,2168,3,-0.34505735026918966,-0.8035433333333333,2.6,0.0,0.0,-1.0,18047.035188323192,38775710588.06264,-0.000577350269189647,-0.0003333333333332966
Detector_main,2890,2169,3,-0.34505735026918966,-0.8028766666666667,2.6,0.0,0.0,-1.0,18047.035188323192,38775710588.06264,-0.000577350269189647,0.0003333333333332966
Detector_main,2891,2170,3,-0.34448,-0.8018766666666667,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,0.0,0.0013333333333332975
Detector_main,2892,2171,3,-0.34381333333333336,-0.8020552994616207,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,0.0006666666666666488,0.001154700538379294
Detector_main,2893,2172,3,-0.34332529946162077,-0.8025433333333333,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,0.0011547005383792386,0.0006666666666667043
Detector_main,2894,2173,3,-0.34314666666666666,-0.80321,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,0.001333333333333353,0.0
Detector_main,2895,2174,3,-0.34332529946162077,-0.8038766666666667,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,0.0011547005383792386,-0.0006666666666667043
Detector_main,2896,2175,3,-0.34381333333333336,-0.8043647005383793,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,0.0006666666666666488,-0.001154700538379294
Detector_main,2897,2176,3,-0.34448,-0.8045433333333333,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,0.0,-0.0013333333333332975
Detector_main,2898,2177,3,-0.34514666666666666,-0.8043647005383793,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,-0.0006666666666666488,-0.001154700538379294
Detector_main,2899,2178,3,-0.34563470053837925,-0.8038766666666667,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,-0.0011547005383792386,-0.0006666666666667043
Detector_main,2900,2179,3,-0.34581333333333336,-0.80321,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,-0.001333333333333353,0.0
Detector_main,2901,2180,3,-0.34563470053837925,-0.8025433333333333,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,-0.0011547005383792386,0.0006666666666667043
Detector_main,2902,2181,3,-0.34514666666666666,-0.8020552994616207,2.6,0.0,0.0,-1.0,17572.140980945045,37755356820.63846,-0.0006666666666666488,0.001154700538379294
Detector_main,2903,2182,3,-0.34448,-0.80121,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0,0.0020000000000000018
Detector_main,2904,2183,3,-0.3437959597133487,-0.8013306147584282,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0006840402866513107,0.0018793852415718293
Detector_main,2905,2184,3,-0.34319442478062695,-0.8016779111137621,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0012855752193730585,0.0015320888862379034
Detector_main,2906,2185,3,-0.3427479491924311,-0.80221,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0017320508075688856,0.0010000000000000009
Detector_main,2907,2186,3,-0.3425103844939756,-0.8028627036446662,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0019696155060244247,0.00034729635533381487
Detector_main,2908,2187,3,-0.3425103844939756,-0.8035572963553338,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0019696155060244247,-0.00034729635533381487
Detector_main,2909,2188,3,-0.3427479491924311,-0.80421,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0017320508075688856,-0.0010000000000000009
Detector_main,2910,2189,3,-0.34319442478062695,-0.8047420888862379,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0012855752193730585,-0.0015320888862379034
Detector_main,2911,2190,3,-0.3437959597133487,-0.8050893852415718,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0006840402866513107,-0.0018793852415718293
Detector_main,2912,2191,3,-0.34448,-0.80521,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,0.0,-0.0020000000000000018
Detector_main,2913,2192,3,-0.3451640402866513,-0.8050893852415718,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,-0.0006840402866513107,-0.0018793852415718293
Detector_main,2914,2193,3,-0.34576557521937307,-0.8047420888862379,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,-0.0012855752193730585,-0.0015320888862379034
Detector_main,2915,2194,3,-0.3462120508075689,-0.80421,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,-0.0017320508075688856,-0.0010000000000000009
Detector_main,2916,2195,3,-0.34644961550602443,-0.8035572963553338,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,-0.0019696155060244247,-0.00034729635533381487
Detector_main,2917,2196,3,-0.34644961550602443,-0.8028627036446662,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,-0.0019696155060244247,0.00034729635533381487
Detector_main,2918,2197,3,-0.3462120508075689,-0.80221,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,-0.0017320508075688856,0.0010000000000000009
Detector_main,2919,2198,3,-0.34576557521937307,-0.8016779111137621,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,-0.0012855752193730585,0.0015320888862379034
Detector_main,2920,2199,3,-0.3451640402866514,-0.8013306147584282,2.6,0.0,0.0,-1.0,16808.257855844022,36114083854.03026,-0.0006840402866513662,0.0018793852415718293
Detector_main,2921,2200,3,-0.34448,-0.8005433333333333,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.0,0.002666666666666706
Detector_main,2922,2201,3,-0.3437898158797266,-0.8006341977965624,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.0006901841202733849,0.0025758022034375605
Detector_main,2923,2202,3,-0.34314666666666666,-0.8009005989232415,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.001333333333333353,0.002309401076758477
Detector_main,2924,2203,3,-0.3425943819168359,-0.8013243819168359,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.00188561808316412,0.00188561808316412
Detector_main,2925,2204,3,-0.34217059892324153,-0.8018766666666667,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.002309401076758477,0.0013333333333332975
Detector_main,2926,2205,3,-0.3419041977965625,-0.8025198158797265,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.002575802203437505,0.0006901841202734404
Detector_main,2927,2206,3,-0.34181333333333336,-0.80321,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.0026666666666666505,0.0
Detector_main,2928,2207,3,-0.3419041977965625,-0.8039001841202734,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.002575802203437505,-0.0006901841202734404
Detector_main,2929,2208,3,-0.34217059892324153,-0.8045433333333333,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.002309401076758477,-0.0013333333333332975
Detector_main,2930,2209,3,-0.3425943819168359,-0.8050956180831641,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.00188561808316412,-0.00188561808316412
Detector_main,2931,2210,3,-0.34314666666666666,-0.8055194010767585,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.001333333333333353,-0.002309401076758477
Detector_main,2932,2211,3,-0.3437898158797266,-0.8057858022034375,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.0006901841202733849,-0.0025758022034375605
Detector_main,2933,2212,3,-0.34448,-0.8058766666666667,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,0.0,-0.002666666666666706
Detector_main,2934,2213,3,-0.3451701841202734,-0.8057858022034375,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.0006901841202733849,-0.0025758022034375605
Detector_main,2935,2214,3,-0.34581333333333336,-0.8055194010767585,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.001333333333333353,-0.002309401076758477
Detector_main,2936,2215,3,-0.34636561808316413,-0.8050956180831641,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.00188561808316412,-0.00188561808316412
Detector_main,2937,2216,3,-0.3467894010767585,-0.8045433333333333,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.002309401076758477,-0.0013333333333332975
Detector_main,2938,2217,3,-0.3470558022034375,-0.8039001841202734,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.002575802203437505,-0.0006901841202734404
Detector_main,2939,2218,3,-0.34714666666666666,-0.80321,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.0026666666666666505,0.0
Detector_main,2940,2219,3,-0.3470558022034375,-0.8025198158797265,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.002575802203437505,0.0006901841202734404
Detector_main,2941,2220,3,-0.3467894010767585,-0.8018766666666667,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.002309401076758477,0.0013333333333332975
Detector_main,2942,2221,3,-0.34636561808316413,-0.8013243819168359,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.00188561808316412,0.00188561808316412
Detector_main,2943,2222,3,-0.34581333333333336,-0.8009005989232415,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.001333333333333353,0.002309401076758477
Detector_main,2944,2223,3,-0.3451701841202734,-0.8006341977965624,2.6,0.0,0.0,-1.0,15794.28368464968,33935467333.603546,-0.0006901841202733849,0.0025758022034375605
Detector_main,2945,2224,3,-0.34448,-0.7998766666666667,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0,0.0033333333333332993
Detector_main,2946,2225,3,-0.34378696103060746,-0.7999495079975539,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0006930389693925454,0.003260492002446047
