mirror_group,axis,reference,scan_min_deg,scan_max_deg,step_deg,accepted_min_deg,accepted_max_deg,first_failed_below_deg,first_failed_above_deg,validation_ray_count,cylindrical_screen_count,required_bundles_per_screen,min_rays_at_accepted_min,min_rays_at_accepted_max
MS1-MS4,x,current_position,-0.300,0.300,0.005,-0.025,0.040,-0.030,0.045,10000,16,7,22,16
MS1-MS4,z,current_position,-0.300,0.300,0.005,-0.015,0.005,-0.020,0.010,10000,16,7,14,10
