1.4.4	(-0.7680580512795, 1.0242437566137998, -2.1087836053)	(-0.7673634546795001, 1.0243761792138, -2.1093190645)	(-0.7672310320795, 1.0236815826138, -2.1098545237)	(-0.7679256286795, 1.0235491600137998, -2.1093190645)
1.4.5	(-0.7700931284795001, 1.0231362831138, -2.1077049945)	(-0.7694480214795, 1.0228467362137998, -2.1082549573)	(-0.7697375684795, 1.0222016292137999, -2.10880492)	(-0.7703826753795, 1.0224911761137998, -2.1082549573)
1.4.6	(-0.7710832890795001, 1.0238266344137998, -2.1077453491)	(-0.7706038517795001, 1.0233068846137998, -2.1082930808)	(-0.7711236015795, 1.0228274472138, -2.1088408125)	(-0.7716030389795, 1.0233471971138, -2.1082930808)
1.4.7	(-0.7710320982795, 1.0248595657138, -2.1072758589)	(-0.7704583522795, 1.0244462674138, -2.107827398)	(-0.7708716505795, 1.0238725213137998, -2.1083789371)	(-0.7714453965795001, 1.0242858197137998, -2.107827398)

2.1.1	(-1.0188905460586, -0.7671512181392001, -3.0987653032)	(-1.0190875413586, -0.7664721063392, -3.0993017493)	(-1.0184084295586, -0.7662751110392001, -3.0998381953)	(-1.0182114342586, -0.7669542228392, -3.0993017493)
2.1.2	(-1.0190761322586, -0.7651059865392, -3.0994375819)	(-1.0190028903586, -0.7644026829392001, -3.0999694617)	(-1.0182995867586, -0.7644759248392, -3.1005013415)	(-1.0183728286586, -0.7651792284392, -3.0999694617)
2.1.3	(-1.0185714534586001, -0.7659176286392001, -3.0995376747)	(-1.0183674778586, -0.7652405808392001, -3.1000653609)	(-1.0176904300586, -0.7654445564392001, -3.1005930472)	(-1.0178944056586001, -0.7661216042392001, -3.1000653609)
2.1.4	(-1.0184667971586001, -0.7641988258392001, -3.1004028129)	(-1.0185286151586, -0.7634944263392001, -3.1009377735)	(-1.0178242156586, -0.7634326083392, -3.101472734)	(-1.0177623976586, -0.7641370078392, -3.1009377735)
2.1.5	(-1.0173419675586, -0.7662143842392001, -3.0998965306)	(-1.0170071384586001, -0.7655915766392001, -3.1004188131)	(-1.0163843308586, -0.7659264058392, -3.1009410955)	(-1.0167191600586, -0.7665492133392, -3.1004188131)
2.1.6	(-1.0180996824586, -0.7668645066392, -3.099852081)	(-1.0176500492586, -0.7663187689392, -3.100371365)	(-1.0171043115586, -0.7667684021392001, -3.100890649)	(-1.0175539447586, -0.7673141398392, -3.100371365)
2.1.7	(-1.0196807863586, -0.7656793086392001, -3.098793838)	(-1.0191306386586, -0.7652350818392001, -3.0993092593)	(-1.0186864118586, -0.7657852295392, -3.0998246806)	(-1.0192365595586, -0.7662294563392, -3.0993092593)

2.2.1	(-1.0245418092586, -0.7643253712392001, -2.7708729202)	(-1.0247563972586, -0.7636516116392, -2.7713757004)	(-1.0240826376586, -0.7634370237392001, -2.7718784806)	(-1.0238680497586001, -0.7641107832392, -2.7713757004)
2.2.2	(-1.0240900475586001, -0.7633400578392, -2.7709461782)	(-1.0240371977586, -0.7626349287392, -2.7714457934)	(-1.0233320685586, -0.7626877785392, -2.7719454085)	(-1.0233849184586001, -0.7633929077392001, -2.7714457934)
2.2.3	(-1.0234293797586, -0.7640277649392001, -2.7709682111)	(-1.0232408442586, -0.7633462557392, -2.7714662146)	(-1.0225593350586, -0.7635347912392001, -2.7719642181)	(-1.0227478705586, -0.7642163004392001, -2.7714662146)
2.2.4	(-1.0235045702586, -0.7624023037392, -2.7717203018)	(-1.0235907252586, -0.7617004650392001, -2.7722215641)	(-1.0228888865586, -0.7616143100392001, -2.7727228263)	(-1.0228027315586001, -0.7623161487392001, -2.7722215641)
2.2.5	(-1.0224496306586, -0.7636855866392, -2.7709979962)	(-1.0221365822586, -0.7630515514392, -2.7714953807)	(-1.0215025471586001, -0.7633645998392, -2.7719927652)	(-1.0218155954586001, -0.7639986349392001, -2.7714953807)
